Window	width	angle	angle	mean ang	std ang	mean int	std int	mean std	std std
101.00	0.36	110	109	113.0380773	3.261041883	0.666236639	0.306699225	21.75886543	3.550864314
101.00	0.36	115	115	116.0350713	3.356838414	0.634576941	0.313858609	22.37316707	3.967199908
101.00	0.36	120	119	120.3101989	4.143137595	0.630398484	0.307202175	22.01884205	3.748795159
101.00	0.36	125	125	121.6896487	3.674750693	0.662376307	0.306847936	21.49245571	3.583045484
101.00	0.36	130	129	126.0173813	3.585817257	0.660256498	0.304708471	21.44505519	3.375423287
101.00	0.36	135	135	132.0558267	3.813826592	0.682743505	0.296468868	21.8320798	3.020468323
101.00	0.36	140	140	136.187247	3.61699414	0.661745375	0.308597103	21.41324852	3.475760589
101.00	0.36	145	145	141.1603681	3.969576636	0.656328815	0.307175251	21.42474072	3.285033668
101.00	0.36	15	14	17.83159546	3.438052496	0.675705166	0.304460985	21.73425543	3.50002557
101.00	0.36	150	150	146.428137	3.831959903	0.652152897	0.312598268	21.4008041	3.548778022
101.00	0.36	155	155	151.0424696	3.565340275	0.659118762	0.304034155	21.42692032	3.417331127
101.00	0.36	160	160	156.4064587	3.232402431	0.65253892	0.308520709	21.41216353	3.750954251
101.00	0.36	165	165	163.1592318	3.834598047	0.634780499	0.307107723	21.93513614	3.854311257
101.00	0.36	170	170	172.4399971	3.617508426	0.675345402	0.298064346	21.90859064	3.611193864
101.00	0.36	175	175	175.0558949	6.128604365	0.607421401	0.357733947	20.48706043	4.065907558
101.00	0.36	20	19	22.62429814	3.384750108	0.664581529	0.312976788	21.67433897	3.713142999
101.00	0.36	25	24	28.13540769	3.467960732	0.664873352	0.309202506	21.67716428	3.47454852
101.00	0.36	30	29	32.61670733	3.84369562	0.65697655	0.31927267	21.63241487	3.669972077
101.00	0.36	35	34	37.99552814	3.803772822	0.664246291	0.312232585	21.62371811	3.580587227
101.00	0.36	40	39	42.77696758	3.775785475	0.673426813	0.3092254	21.77427931	3.431757114
101.00	0.36	45	44	48.07773165	2.441838341	0.693018534	0.294963639	21.97116939	3.042938988
101.00	0.36	5	5	4.857676765	5.722283613	0.620488263	0.348388727	20.85723323	3.836155536
101.00	0.36	50	50	53.30399529	3.260365807	0.672105428	0.308728707	21.59537731	3.580557908
101.00	0.36	55	54	58.13631455	3.062324598	0.670510103	0.310631487	21.65143357	3.675745793
